ds,y
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,10
2022-06-08,8
2022-06-09,4
2022-06-10,0
2022-06-11,0
2022-06-12,21
2022-06-13,12
2022-06-14,12
2022-06-15,9
2022-06-16,2
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,4
2022-06-21,12
2022-06-22,11
2022-06-23,1
2022-06-24,3
2022-06-25,0
2022-06-26,0
2022-06-27,6
2022-06-28,5
2022-06-29,8
2022-06-30,2
2022-07-01,0
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,3
2022-07-06,0
2022-07-07,3
2022-07-08,6
2022-07-09,5
2022-07-10,0
2022-07-11,10
2022-07-12,9
2022-07-13,21
2022-07-14,7
2022-07-15,18
2022-07-16,14
2022-07-17,11
2022-07-18,7
2022-07-19,4
2022-07-20,4
2022-07-21,0
2022-07-22,6
2022-07-23,5
2022-07-24,0
2022-07-25,7
2022-07-26,7
2022-07-27,8
2022-07-28,2
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,1
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,0
2022-08-08,0
2022-08-09,3
2022-08-10,3
2022-08-11,4
2022-08-12,6
2022-08-13,10
2022-08-14,6
2022-08-15,0
2022-08-16,1
2022-08-17,0
2022-08-18,0
2022-08-19,6
2022-08-20,6
2022-08-21,0
2022-08-22,2
2022-08-23,7
2022-08-24,12
2022-08-25,7
2022-08-26,3
2022-08-27,1
2022-08-28,0
2022-08-29,2
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,3
2022-09-03,0
2022-09-04,1
2022-09-05,1
2022-09-06,0
2022-09-07,8
2022-09-08,4
2022-09-09,7
2022-09-10,4
2022-09-11,0
2022-09-12,6
2022-09-13,4
2022-09-14,8
2022-09-15,16
2022-09-16,13
2022-09-17,8
2022-09-18,0
2022-09-19,0
2022-09-20,3
2022-09-21,7
2022-09-22,10
2022-09-23,5
2022-09-24,9
2022-09-25,0
2022-09-26,2
2022-09-27,2
2022-09-28,8
2022-09-29,0
2022-09-30,1
2022-10-01,0
2022-10-02,0
2022-10-03,0
2022-10-04,3
2022-10-05,0
2022-10-06,0
2022-10-07,11
2022-10-08,7
2022-10-09,4
2022-10-10,12
2022-10-11,12
2022-10-12,13
2022-10-13,10
2022-10-14,6
2022-10-15,1
2022-10-16,0
2022-10-17,3
2022-10-18,5
2022-10-19,5
2022-10-20,9
2022-10-21,1
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,3
2022-10-27,2
2022-10-28,2
2022-10-29,0
2022-10-30,0
2022-10-31,0
2022-11-01,0
2022-11-02,2
2022-11-03,11
2022-11-04,0
2022-11-05,7
2022-11-06,7
2022-11-07,7
2022-11-08,0
2022-11-09,0
2022-11-10,3
2022-11-11,12
2022-11-12,6
2022-11-13,0
2022-11-14,10
2022-11-15,18
2022-11-16,10
2022-11-17,4
2022-11-18,3
2022-11-19,0
2022-11-20,0
2022-11-21,2
2022-11-22,6
2022-11-23,2
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,4
2022-12-01,8
2022-12-02,6
2022-12-03,5
2022-12-04,0
2022-12-05,5
2022-12-06,7
2022-12-07,15
2022-12-08,14
2022-12-09,14
2022-12-10,12
2022-12-11,5
2022-12-12,20
2022-12-13,32
2022-12-14,33
2022-12-15,2
2022-12-16,0
2022-12-17,0
2022-12-18,0
2022-12-19,4
2022-12-20,0
2022-12-21,5
2022-12-22,0
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,0
2022-12-27,0
2022-12-28,0
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,0
2023-01-07,13
2023-01-08,10
2023-01-09,14
2023-01-10,17
2023-01-11,31
2023-01-12,24
2023-01-13,8
2023-01-14,7
2023-01-15,0
2023-01-16,3
2023-01-17,29
2023-01-18,27
2023-01-19,22
2023-01-20,12
2023-01-21,0
2023-01-22,0
2023-01-23,18
2023-01-24,40
2023-01-25,18
2023-01-26,28
2023-01-27,15
2023-01-28,6
2023-01-29,0
2023-01-30,17
2023-01-31,11
2023-02-01,12
2023-02-02,16
2023-02-03,18
2023-02-04,6
2023-02-05,2
2023-02-06,15
2023-02-07,19
2023-02-08,13
2023-02-09,16
2023-02-10,11
2023-02-11,14
2023-02-12,2
2023-02-13,18
2023-02-14,23
2023-02-15,20
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,10
2023-02-21,20
2023-02-22,16
2023-02-23,16
2023-02-24,14
2023-02-25,0
2023-02-26,6
2023-02-27,0
2023-02-28,13
2023-03-01,20
2023-03-02,32
2023-03-03,26
2023-03-04,12
2023-03-05,5
2023-03-06,15
2023-03-07,22
2023-03-08,22
2023-03-09,17
2023-03-10,12
2023-03-11,13
2023-03-12,0
2023-03-13,6
2023-03-14,17
2023-03-15,0
2023-03-16,24
2023-03-17,32
2023-03-18,12
2023-03-19,0
2023-03-20,8
2023-03-21,14
2023-03-22,15
2023-03-23,25
2023-03-24,44
2023-03-25,12
2023-03-26,3
2023-03-27,37
2023-03-28,21
2023-03-29,36
2023-03-30,19
2023-03-31,3
2023-04-01,0
2023-04-02,9
2023-04-03,37
2023-04-04,30
2023-04-05,26
2023-04-06,30
2023-04-07,6
2023-04-08,0
2023-04-09,0
2023-04-10,34
2023-04-11,34
2023-04-12,64
2023-04-13,15
2023-04-14,0
2023-04-15,16
2023-04-16,0
2023-04-17,16
2023-04-18,6
2023-04-19,0
2023-04-20,8
2023-04-21,2
2023-04-22,0
2023-04-23,0
2023-04-24,9
2023-04-25,0
2023-04-26,1
2023-04-27,4
2023-04-28,4
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,7
2023-05-03,2
2023-05-04,5
2023-05-05,4
2023-05-06,6
2023-05-07,0
2023-05-08,1
2023-05-09,3
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,7
2023-05-18,4
2023-05-19,0
2023-05-20,5
2023-05-21,0
2023-05-22,3
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,6
2023-05-27,7
2023-05-28,8
2023-05-29,11
2023-05-30,9
2023-05-31,13
2023-06-01,7
2023-06-02,6
2023-06-03,8
2023-06-04,0
2023-06-05,9
2023-06-06,9
2023-06-07,14
2023-06-08,8
2023-06-09,0
2023-06-10,0
2023-06-11,0
2023-06-12,18
2023-06-13,22
2023-06-14,19
2023-06-15,12
2023-06-16,6
2023-06-17,0
2023-06-18,0
2023-06-19,0
2023-06-20,4
2023-06-21,13
2023-06-22,10
2023-06-23,11
2023-06-24,10
2023-06-25,4
2023-06-26,5
2023-06-27,10
2023-06-28,8
2023-06-29,18
2023-06-30,11
2023-07-01,6
2023-07-02,0
2023-07-03,11
2023-07-04,9
2023-07-05,9
2023-07-06,2
2023-07-07,0
2023-07-08,5
2023-07-09,0
2023-07-10,1
2023-07-11,0
2023-07-12,6
2023-07-13,4
2023-07-14,7
2023-07-15,3
2023-07-16,0
2023-07-17,6
2023-07-18,3
2023-07-19,19
2023-07-20,9
2023-07-21,14
2023-07-22,6
2023-07-23,0
2023-07-24,17
2023-07-25,21
2023-07-26,18
2023-07-27,18
2023-07-28,15
2023-07-29,19
2023-07-30,0
2023-07-31,6
2023-08-01,10
2023-08-02,19
2023-08-03,9
2023-08-04,0
2023-08-05,5
2023-08-06,0
2023-08-07,0
2023-08-08,6
2023-08-09,0
2023-08-10,5
2023-08-11,14
2023-08-12,4
2023-08-13,0
2023-08-14,3
2023-08-15,5
2023-08-16,5
2023-08-17,12
2023-08-18,14
2023-08-19,11
2023-08-20,13
2023-08-21,23
2023-08-22,35
2023-08-23,25
2023-08-24,23
2023-08-25,18
2023-08-26,18
2023-08-27,0
2023-08-28,29
2023-08-29,19
2023-08-30,10
2023-08-31,4
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,7
2023-09-05,9
2023-09-06,19
2023-09-07,17
2023-09-08,6
2023-09-09,9
2023-09-10,0
2023-09-11,20
2023-09-12,16
2023-09-13,22
2023-09-14,29
2023-09-15,25
2023-09-16,12
2023-09-17,6
2023-09-18,16
2023-09-19,18
2023-09-20,25
2023-09-21,20
2023-09-22,14
2023-09-23,5
2023-09-24,0
2023-09-25,15
2023-09-26,32
2023-09-27,17
2023-09-28,20
2023-09-29,28
2023-09-30,23
2023-10-01,7
2023-10-02,20
2023-10-03,23
2023-10-04,5
2023-10-05,8
2023-10-06,6
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,8
2023-10-11,11
2023-10-12,6
2023-10-13,15
2023-10-14,13
2023-10-15,12
2023-10-16,15
2023-10-17,17
2023-10-18,12
2023-10-19,6
2023-10-20,14
2023-10-21,15
2023-10-22,2
2023-10-23,22
2023-10-24,24
2023-10-25,27
2023-10-26,11
2023-10-27,36
2023-10-28,20
2023-10-29,0
2023-10-30,8
2023-10-31,30
2023-11-01,12
2023-11-02,18
2023-11-03,20
2023-11-04,0
2023-11-05,0
2023-11-06,24
2023-11-07,26
2023-11-08,46
2023-11-09,31
2023-11-10,37
2023-11-11,21
2023-11-12,0
2023-11-13,18
2023-11-14,21
2023-11-15,73
2023-11-16,36
2023-11-17,48
2023-11-18,38
2023-11-19,0
2023-11-20,55
2023-11-21,50
2023-11-22,49
2023-11-23,41
2023-11-24,32
2023-11-25,13
2023-11-26,0
2023-11-27,65
2023-11-28,49
2023-11-29,61
2023-11-30,49
2023-12-01,0
2023-12-02,28
2023-12-03,0
2023-12-04,12
2023-12-05,37
2023-12-06,33
2023-12-07,50
2023-12-08,45
2023-12-09,46
2023-12-10,11
2023-12-11,22
2023-12-12,34
2023-12-13,0
2023-12-14,57
2023-12-15,56
2023-12-16,35
2023-12-17,0
2023-12-18,7
2023-12-19,17
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,25
2024-01-05,31
2024-01-06,29
2024-01-07,0
2024-01-08,23
2024-01-09,41
2024-01-10,47
2024-01-11,74
2024-01-12,74
2024-01-13,44
2024-01-14,14
2024-01-15,41
2024-01-16,65
2024-01-17,81
2024-01-18,54
2024-01-19,77
2024-01-20,3
2024-01-21,0
2024-01-22,16
2024-01-23,55
2024-01-24,58
2024-01-25,66
2024-01-26,22
2024-01-27,0
2024-01-28,16
2024-01-29,21
2024-01-30,14
2024-01-31,40
2024-02-01,26
2024-02-02,11
2024-02-03,6
2024-02-04,7
2024-02-05,30
2024-02-06,29
2024-02-07,35
2024-02-08,18
2024-02-09,5
2024-02-10,0
2024-02-11,0
2024-02-12,21
2024-02-13,25
2024-02-14,12
2024-02-15,13
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,6
2024-02-20,15
2024-02-21,11
2024-02-22,12
2024-02-23,7
2024-02-24,14
2024-02-25,1
2024-02-26,7
2024-02-27,4
2024-02-28,26
2024-02-29,22
2024-03-01,12
2024-03-02,10
2024-03-03,0
2024-03-04,3
2024-03-05,7
2024-03-06,1
2024-03-07,11
2024-03-08,5
2024-03-09,1
2024-03-10,0
2024-03-11,3
2024-03-12,14
2024-03-13,3
2024-03-14,7
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,4
2024-03-19,0
2024-03-20,15
2024-03-21,9
2024-03-22,11
2024-03-23,19
2024-03-24,22
2024-03-25,42
2024-03-26,44
2024-03-27,47
2024-03-28,32
2024-03-29,28
2024-03-30,21
2024-03-31,0
2024-04-01,27
2024-04-02,38
2024-04-03,18
2024-04-04,15
2024-04-05,19
2024-04-06,2
2024-04-07,16
2024-04-08,27
2024-04-09,35
2024-04-10,30
2024-04-11,35
2024-04-12,17
2024-04-13,5
2024-04-14,8
2024-04-15,8
2024-04-16,8
2024-04-17,17
2024-04-18,8
2024-04-19,1
2024-04-20,0
2024-04-21,1
2024-04-22,1
2024-04-23,13
2024-04-24,7
2024-04-25,3
2024-04-26,5
2024-04-27,0
2024-04-28,2
2024-04-29,9
2024-04-30,9
2024-05-01,11
2024-05-02,9
2024-05-03,12
2024-05-04,0
2024-05-05,5
2024-05-06,7
2024-05-07,19
2024-05-08,10
2024-05-09,6
2024-05-10,10
2024-05-11,3
2024-05-12,0
2024-05-13,2
2024-05-14,16
2024-05-15,18
2024-05-16,11
2024-05-17,5
2024-05-18,7
2024-05-19,3
2024-05-20,0
2024-05-21,9
2024-05-22,4
2024-05-23,7
2024-05-24,5
2024-05-25,16
2024-05-26,11
2024-05-27,16
2024-05-28,23
2024-05-29,37
2024-05-30,38
2024-05-31,26
2024-06-01,20
2024-06-02,8
2024-06-03,35
2024-06-04,25
2024-06-05,50
2024-06-06,60
2024-06-07,144
2024-06-08,48
2024-06-09,32
2024-06-10,60
2024-06-11,71
2024-06-12,81
2024-06-13,74
2024-06-14,62
2024-06-15,36
2024-06-16,0
2024-06-17,40
2024-06-18,35
2024-06-19,50
2024-06-20,11
2024-06-21,1
2024-06-22,0
2024-06-23,0
2024-06-24,5
2024-06-25,8
2024-06-26,6
2024-06-27,7
2024-06-28,14
2024-06-29,0
2024-06-30,0
2024-07-01,0
2024-07-02,0
2024-07-03,28
2024-07-04,51
2024-07-05,59
2024-07-06,49
2024-07-07,49
2024-07-08,54
2024-07-09,58
2024-07-10,52
2024-07-11,33
2024-07-12,22
2024-07-13,32
2024-07-14,0
2024-07-15,35
2024-07-16,55
2024-07-17,47
2024-07-18,27
2024-07-19,0
2024-07-20,0
2024-07-21,0
2024-07-22,0
2024-07-23,0
2024-07-24,0
2024-07-25,0
2024-07-26,0
2024-07-27,0
2024-07-28,0
2024-07-29,0
2024-07-30,0
2024-07-31,18
2024-08-01,37
2024-08-02,40
2024-08-03,51
2024-08-04,51
2024-08-05,48
2024-08-06,36
2024-08-07,59
2024-08-08,56
2024-08-09,59
2024-08-10,47
2024-08-11,0
2024-08-12,0
2024-08-13,48
2024-08-14,47
2024-08-15,26
2024-08-16,0
2024-08-17,0
2024-08-18,1
2024-08-19,0
2024-08-20,0
2024-08-21,0
2024-08-22,0
2024-08-23,0
2024-08-24,0
2024-08-25,0
2024-08-26,0
2024-08-27,0
2024-08-28,1
2024-08-29,66
2024-08-30,65
2024-08-31,22
2024-09-01,21
2024-09-02,38
2024-09-03,37
2024-09-04,35
2024-09-05,42
2024-09-06,46
2024-09-07,35
2024-09-08,0
2024-09-09,73
2024-09-10,80
2024-09-11,42
2024-09-12,1
